spectro redux directory already exists
There are 30720 spectra from 13 cartons
['mwm_halo_bb_boss', 'mwm_halo_sm_boss', 'openfibertargets_nov2020_5', 'openfibertargets_nov2020_6a', 'openfibertargets_nov2020_6b', 'openfibertargets_nov2020_6c', 'openfibertargets_nov2020_25', 'openfibertargets_nov2020_28a', 'openfibertargets_nov2020_28b', 'openfibertargets_nov2020_28c', 'openfibertargets_nov2020_35a', 'openfibertargets_nov2020_35b', 'openfibertargets_nov2020_35c']
3
openfibertargets_nov2020_6a
downloading openfibertargets_nov2020_6a carton: 523 spectra
openfibertargets_nov2020_6a dir already exists
0 done...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-100516-59845-27021598711721379.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103568-59890-27021597926893797.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103568-59890-27021597926894206.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103568-59890-27021597926901372.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103568-59890-27021597926902382.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103568-59890-27021597926916221.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103568-59890-27021597926916263.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103574-59846-27021597926513480.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103574-59846-27021597926516772.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103574-59846-27021597927048824.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103574-59846-27021597927096994.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103574-59846-27021597927102776.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103574-59846-27021597927102948.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103618-59970-27021597973469159.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103656-59871-27021597973781981.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103656-59872-27021597973781981.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103656-59878-27021597973782949.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103656-59878-27021597973874879.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103656-59878-27021597973909507.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103667-59882-27021597973735414.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103949-59911-27021598052153100.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103957-59879-27021597975223224.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-103967-59978-27021597975328707.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104203-59847-27021598721145210.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104203-59847-27021598721192792.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104203-59847-27021598721403192.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104203-59847-27021598721447225.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104203-59847-27021598721482007.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104203-59847-27021598721483421.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104203-59847-27021598721652753.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104220-59878-27021598725429887.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104220-59878-27021598725446403.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104355-59978-27021598046998573.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104370-59654-27021598100962203.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104370-59654-27021598101057100.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104375-59658-27021598049596841.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104375-59658-27021598049689071.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104376-59923-27021598048807738.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104376-59923-27021598048810371.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104376-59923-27021598048954109.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104376-59923-27021598049576963.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104377-59900-27021598048838766.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104377-59900-27021598048839109.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104377-59900-27021598048857776.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104377-59900-27021598048900359.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104377-59900-27021598048901796.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104377-59900-27021598048939694.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104378-59910-27021598048503444.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104378-59910-27021598048569878.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104378-59910-27021598048573536.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104384-59679-27021598127851252.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104384-59679-27021598127853092.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104384-59679-27021598127853499.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104385-59658-27021598127743591.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104385-59658-27021598127750018.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104385-59658-27021598127753474.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104385-59658-27021598127755411.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104386-59683-27021598049932933.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104386-59683-27021598127711746.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104386-59683-27021598127736444.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104387-59898-27021598049882985.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104387-59898-27021598049918363.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104387-59898-27021598049944932.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104388-59949-27021598049760623.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104388-59949-27021598049896766.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104389-59902-27021598049706265.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104389-59902-27021598049716758.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104389-59902-27021598049766740.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104395-59686-27021598127865672.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104395-59686-27021598127868414.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104395-59686-27021598149788301.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104395-59686-27021598149791201.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104396-59687-27021598127741844.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104396-59687-27021598127743156.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104396-59687-27021598149705887.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104396-59687-27021598149706419.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104397-59955-27021598149671591.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104397-59955-27021598149686306.fits exists, skipping...
400 done...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104398-59898-27021598102683941.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104400-59957-27021598102758362.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104403-59691-27021598149712223.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104406-59904-27021598149747735.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104566-59881-27021597929698502.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104566-59881-27021597940560869.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104567-59957-27021597934527413.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104567-59957-27021597934534102.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104567-59957-27021597934534186.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104567-59957-27021597959932095.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104567-59957-27021597959938307.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104569-59820-27021597927088437.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104569-59820-27021597927102776.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104569-59820-27021597927102948.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104569-59820-27021597927104417.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104569-59820-27021597935958258.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104569-59820-27021597935959021.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104569-59820-27021597935964334.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104578-59907-27021597933109898.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104579-59879-27021597929657224.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104585-59886-27021597970241033.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104589-59845-27021597927351891.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104589-59845-27021597927352484.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104589-59845-27021597928978261.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104589-59845-27021597939671532.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59817-27021597926463484.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59817-27021597926472516.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59817-27021597926473617.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59817-27021597935069100.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59820-27021597926463484.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59820-27021597926472516.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59820-27021597926473617.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104598-59820-27021597935069100.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59907-27021597934687664.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59907-27021597934695437.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59907-27021597934698937.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59910-27021597934687664.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59910-27021597934695437.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59910-27021597934698937.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59913-27021597934687664.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59913-27021597934695437.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104608-59913-27021597934698937.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104610-59846-27021597928994504.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104610-59846-27021597929028913.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104618-59912-27021597933205549.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104618-59912-27021597933223900.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104618-59912-27021597933231007.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104618-59925-27021597933205549.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104618-59925-27021597933223900.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104618-59925-27021597933231007.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104621-59884-27021598049967985.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104630-59902-27021597960256503.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59820-27021597933721605.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59820-27021597933722699.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59820-27021597933722862.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59820-27021597958266029.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59826-27021597933721605.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59826-27021597933722699.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59826-27021597933722862.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59826-27021597958266029.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59827-27021597933721605.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59827-27021597933722699.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59827-27021597933722862.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59827-27021597958266029.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104637-59878-27021597933717426.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104642-59847-27021597957490228.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104642-59847-27021597957492499.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104642-59879-27021597957490228.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104642-59879-27021597957492499.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104644-59899-27021597933259311.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104644-59901-27021597933259311.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926478792.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926478820.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926483931.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926518037.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926520043.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926528688.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926531105.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597926541262.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597935132175.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59793-27021597935144331.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59844-27021597926476207.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59844-27021597926486739.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59844-27021597926496869.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59844-27021597926498939.fits exists, skipping...
spectrum /n/holyscratch01/conroy_lab/vchandra/sdss5/spectra/v6_0_9/openfibertargets_nov2020_6a/spec-104646-59844-27021597926501299.fits exists, skipping...
